asset_identity,field,url
009dac74f5650fe20a8056e2fbf20b0e,asset_url,https://blog.shopline.tw/merchant-showcase-superbcut/
009dac74f5650fe20a8056e2fbf20b0e,canonical_url,https://blog.shopline.tw/merchant-showcase-superbcut/
019c5f51eec225d1816e7818e91191a7,asset_url,https://solink.soundon.fm/episode/66679e5f-0319-412c-820b-a5cb139619c3
019c5f51eec225d1816e7818e91191a7,canonical_url,https://solink.soundon.fm/episode/66679e5f-0319-412c-820b-a5cb139619c3
03c344d75fb0165be36191de3333abb3,asset_url,https://blog.shopline.tw/merchant-showcase-purehoop/
03c344d75fb0165be36191de3333abb3,canonical_url,https://blog.shopline.tw/merchant-showcase-purehoop/
052b753671cea15d9d2846675d8b3649,asset_url,https://www.youtube.com/watch?v=DFkCCfutFFU
052b753671cea15d9d2846675d8b3649,canonical_url,https://www.youtube.com/watch?v=DFkCCfutFFU
0587c72babde45ec6a094d2fe2e6123d,asset_url,https://blog.shopline.tw/merchant-showcase-taiwanize/
0587c72babde45ec6a094d2fe2e6123d,canonical_url,https://blog.shopline.tw/merchant-showcase-taiwanize/
05ab5fa64ff43ca5d1e8df04b027a6ae,asset_url,https://blog.shopline.tw/merchant-showcase-lifewarehouse-rfim/
05ab5fa64ff43ca5d1e8df04b027a6ae,canonical_url,https://blog.shopline.tw/merchant-showcase-lifewarehouse-rfim/
05dda264736fc2e28a7973d7a85c61e6,asset_url,https://blog.shopline.tw/partner-showcase-trade-van/
05dda264736fc2e28a7973d7a85c61e6,canonical_url,https://blog.shopline.tw/partner-showcase-trade-van/
069a7c697c3bbc1da9908b37e011a94e,asset_url,https://www.youtube.com/watch?v=onns2J29JiI&list=PL1ZakqyNyglV5VHlD_Yk0pojqPO4NixVj&index=7
069a7c697c3bbc1da9908b37e011a94e,canonical_url,https://www.youtube.com/watch?v=onns2J29JiI&list=PL1ZakqyNyglV5VHlD_Yk0pojqPO4NixVj&index=7
06e3c8d2481cf3d8d6cb1fd51a53c28d,asset_url,https://www.youtube.com/watch?v=ODr6no_RTiE
06e3c8d2481cf3d8d6cb1fd51a53c28d,canonical_url,https://www.youtube.com/watch?v=ODr6no_RTiE
0a2e3626330c0d952c2baedcced55d08,asset_url,https://www.cool3c.com/article/185389
0a2e3626330c0d952c2baedcced55d08,canonical_url,https://www.cool3c.com/article/185389
0ac027cfac80e8dd9daa927ca0d00f3b,asset_url,https://blog.shopline.tw/merchant-showcase-zexinstudio/
0ac027cfac80e8dd9daa927ca0d00f3b,canonical_url,https://blog.shopline.tw/merchant-showcase-zexinstudio/
0e80e5dc3dabd1f51c8f167927304fc8,asset_url,https://blog.shopline.tw/merchant-showcase-sacred-salute/
0e80e5dc3dabd1f51c8f167927304fc8,canonical_url,https://blog.shopline.tw/merchant-showcase-sacred-salute/
0f3e7a890c671b49e86061b2ae59385d,asset_url,https://www.inside.com.tw/article/31748-WITSPER
0f3e7a890c671b49e86061b2ae59385d,canonical_url,https://www.inside.com.tw/article/31748-WITSPER
0f47f58b90105e37d5c7bd4be5eaebc8,asset_url,https://blog.shopline.tw/merchant-showcase-verve/
0f47f58b90105e37d5c7bd4be5eaebc8,canonical_url,https://blog.shopline.tw/merchant-showcase-verve/
